title,platform,language,released,popularity,rating,total_rating_user
Koihime † Musou ~Doki ☆ Otome Darake no Sangokushi Engi~,"Android,Apple iProduct,PlayStation 2,Website,Windows","Chinese,Korean,Japanese,English",2007-01-26,19.12,7.15,2136
Coμ - Kuroi Ryuu to Yasashii Oukoku -,Windows,"Japanese,English",2009-10-22,19.0,7.5,1874
Chrono Clock,Windows,"Korean,Japanese,Spanish,English",2015-04-24,18.96,7.35,2098
Koi to Senkyo to Chocolate,"PlayStation Portable,Windows","Chinese,Japanese,English",2010-10-29,18.76,7.37,2048
Evenicle,Windows,"Chinese,Japanese,English",2015-04-24,18.71,7.75,1816
Gyakuten Saiban 4,"Android,Apple iProduct,Nintendo 3DS,Nintendo DS","Chinese,Japanese,Italian,French,Spanish,English,German",2007-04-12,18.42,7.4,2488
Corpse Party BloodCovered,"Apple iProduct,Other (mobile),Nintendo 3DS,PlayStation 4,PlayStation Portable,Nintendo Switch,Windows","Chinese,Russian,Portuguese (Brazil),Japanese,Italian,Spanish,English",2006-10-03,18.36,7.57,2123
Baldr Sky Dive1 “Lost Memory”,Windows,"Chinese,Japanese,English",2009-03-27,18.16,8.2,1548
Symphonic Rain,"Nintendo Switch,Windows","Chinese,Vietnamese,Russian,Korean,Japanese,English",2004-03-26,18.15,8.11,1666
Kikokugai - The Cyber Slayer,"Android,Linux,Mac OS,PlayStation Portable,VNDS,Website,Windows","Chinese,Vietnamese,Russian,Korean,Japanese,Spanish,English",2002-03-29,18.01,7.47,1767
"Sharin no Kuni, Yuukyuu no Shounenshoujo","PlayStation 3,PlayStation Portable,Windows,Xbox 360","Chinese,Russian,Japanese,Spanish,English",2007-01-26,18.0,7.5,1748
Edelweiss,"Android,Apple iProduct,Website,Windows","Japanese,Spanish,English",2006-12-15,17.94,7.1,2028
Kagetsu Tooya,"Game Boy Advance,VNDS,Windows","Chinese,Korean,Japanese,Italian,Spanish,English",2001-08-13,17.94,7.43,2129
Fureraba ~Friend to Lover~,"PlayStation Vita,Windows","Chinese,Japanese,English",2013-06-28,17.86,7.74,1802
